Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Israel,Asia,9197590,27542,495,325,1,17599,52,9618,70,2994,35,1024298,111366,Europe
Armenia,Asia,2963283,27320,662,469,10,15484,448,11367,10,9220,158,118102,39855,Europe
Nigeria,Africa,206116239,27110,,616,,10801,,15693,7,132,3,141525,687,Africa
Ireland,Europe,4937928,25489,,1738,,23364,,387,12,5162,352,438034,88708,Europe
Honduras,North America,9904628,21120,858,591,49,2190,67,18339,58,2132,60,49308,4978,Americas
Guatemala,North America,17915162,20072,1061,843,26,3279,48,15950,5,1120,47,64590,3605,Americas
Japan,Asia,126472721,18874,,975,,16772,,1127,37,149,8,475308,3758,WesternPacific
Azerbaijan,Asia,10139513,18684,,228,,10425,,8031,66,1843,22,482170,47554,Europe
Ghana,Africa,31071332,18134,,117,,13550,,4467,6,584,4,300520,9672,Africa
Austria,Europe,9006672,17941,,705,,16514,,722,7,1992,78,628700,69804,Europe
Moldova,Europe,4033876,17150,,560,,9846,,6744,438,4251,139,101180,25083,Europe
Serbia,Europe,8737015,15195,,287,,12912,,1996,81,1739,33,418879,47943,Europe
Algeria,Africa,43850258,14657,,928,,10342,,3387,48,334,21,,,Africa
Nepal,Asia,29136307,14519,,31,,5320,,9168,,498,1,534384,18341,South-EastAsia
Morocco,Africa,36911534,12969,,229,,9090,,3650,7,351,6,715853,19394,EasternMediterranean
S. Korea,Asia,51269527,12967,63,282,,11759,75,926,15,253,6,1307761,25508,WesternPacific
Denmark,Europe,5792333,12815,,606,,11769,,440,9,2212,105,1088788,187971,Europe
Cameroon,Africa,26542805,12592,,313,,10100,,2179,52,474,12,,,Africa
Czechia,Europe,10709125,12178,,353,,7822,,4003,12,1137,33,560189,52310,Europe
Ivory Coast,Africa,26375297,9992,,68,,4660,,5264,,379,3,59382,2251,Africa
